target_acc,taxid,Base_Species_TaxID,Species_Name
PDT001106478.3,470,470,Acinetobacter baumannii
PDT002098320.1,470,470,Acinetobacter baumannii
PDT000714816.1,470,470,Acinetobacter baumannii
PDT002026732.1,470,470,Acinetobacter baumannii
PDT001292378.1,470,470,Acinetobacter baumannii
PDT002126329.1,470,470,Acinetobacter baumannii
PDT001518642.1,470,470,Acinetobacter baumannii
PDT000114674.2,470,470,Acinetobacter baumannii
PDT001906948.2,470,470,Acinetobacter baumannii
PDT001336381.1,470,470,Acinetobacter baumannii
PDT001538518.1,470,470,Acinetobacter baumannii
PDT002280968.1,470,470,Acinetobacter baumannii
PDT000879221.1,470,470,Acinetobacter baumannii
PDT000270489.2,470,470,Acinetobacter baumannii
PDT002131215.1,470,470,Acinetobacter baumannii
PDT000605706.1,470,470,Acinetobacter baumannii
PDT000342222.2,470,470,Acinetobacter baumannii
PDT001963450.2,470,470,Acinetobacter baumannii
PDT002213449.1,470,470,Acinetobacter baumannii
PDT001957123.1,470,470,Acinetobacter baumannii
PDT000016437.1,1315175,470,Acinetobacter baumannii
PDT000746214.1,470,470,Acinetobacter baumannii
PDT002326862.1,470,470,Acinetobacter baumannii
PDT001462026.1,470,470,Acinetobacter baumannii
PDT001353804.3,470,470,Acinetobacter baumannii
PDT000866537.1,470,470,Acinetobacter baumannii
PDT000751425.1,470,470,Acinetobacter baumannii
PDT002247575.1,470,470,Acinetobacter baumannii
PDT000605996.1,470,470,Acinetobacter baumannii
PDT000812690.1,470,470,Acinetobacter baumannii
PDT001306644.3,470,470,Acinetobacter baumannii
PDT001210567.3,470,470,Acinetobacter baumannii
PDT001093951.1,470,470,Acinetobacter baumannii
PDT001006769.1,470,470,Acinetobacter baumannii
PDT000209023.1,470,470,Acinetobacter baumannii
PDT000417690.1,470,470,Acinetobacter baumannii
PDT001231395.1,470,470,Acinetobacter baumannii
PDT001193399.1,470,470,Acinetobacter baumannii
PDT001956991.1,470,470,Acinetobacter baumannii
PDT002247515.1,470,470,Acinetobacter baumannii
PDT002161989.1,470,470,Acinetobacter baumannii
PDT000106807.2,470,470,Acinetobacter baumannii
PDT001706435.3,470,470,Acinetobacter baumannii
PDT002148275.1,470,470,Acinetobacter baumannii
PDT000107055.2,470,470,Acinetobacter baumannii
PDT001147070.1,470,470,Acinetobacter baumannii
PDT001603006.1,470,470,Acinetobacter baumannii
PDT001456624.3,470,470,Acinetobacter baumannii
PDT001788165.1,470,470,Acinetobacter baumannii
PDT002040963.1,470,470,Acinetobacter baumannii
PDT001135525.1,470,470,Acinetobacter baumannii
PDT001484907.3,470,470,Acinetobacter baumannii
PDT000114582.2,470,470,Acinetobacter baumannii
PDT001044769.3,470,470,Acinetobacter baumannii
PDT001254577.1,470,470,Acinetobacter baumannii
PDT001071617.3,470,470,Acinetobacter baumannii
PDT001518624.1,470,470,Acinetobacter baumannii
PDT001810490.2,470,470,Acinetobacter baumannii
PDT000092683.1,470,470,Acinetobacter baumannii
PDT002247639.1,470,470,Acinetobacter baumannii
PDT001595056.1,470,470,Acinetobacter baumannii
PDT001821713.2,470,470,Acinetobacter baumannii
PDT000880511.1,470,470,Acinetobacter baumannii
PDT000233110.1,470,470,Acinetobacter baumannii
PDT001127675.1,470,470,Acinetobacter baumannii
PDT000510415.1,470,470,Acinetobacter baumannii
PDT001518556.1,470,470,Acinetobacter baumannii
PDT000173823.2,470,470,Acinetobacter baumannii
PDT000217703.1,470,470,Acinetobacter baumannii
PDT001191814.2,470,470,Acinetobacter baumannii
PDT001537236.3,470,470,Acinetobacter baumannii
PDT001149735.3,470,470,Acinetobacter baumannii
PDT000659497.1,470,470,Acinetobacter baumannii
PDT000725038.1,470,470,Acinetobacter baumannii
PDT001648388.3,470,470,Acinetobacter baumannii
PDT000932672.3,470,470,Acinetobacter baumannii
PDT001491599.1,470,470,Acinetobacter baumannii
PDT001824834.1,470,470,Acinetobacter baumannii
PDT000821627.3,470,470,Acinetobacter baumannii
PDT001582885.3,470,470,Acinetobacter baumannii
PDT001006719.1,470,470,Acinetobacter baumannii
PDT001006878.1,470,470,Acinetobacter baumannii
PDT002239569.1,470,470,Acinetobacter baumannii
PDT002126792.1,470,470,Acinetobacter baumannii
PDT001325861.1,470,470,Acinetobacter baumannii
PDT002154481.1,470,470,Acinetobacter baumannii
PDT001688123.3,470,470,Acinetobacter baumannii
PDT002167761.1,470,470,Acinetobacter baumannii
PDT001592140.1,470,470,Acinetobacter baumannii
PDT000156176.1,470,470,Acinetobacter baumannii
PDT001292500.1,470,470,Acinetobacter baumannii
PDT002125175.1,470,470,Acinetobacter baumannii
PDT000290021.1,470,470,Acinetobacter baumannii
PDT001822714.1,470,470,Acinetobacter baumannii
PDT001952756.1,470,470,Acinetobacter baumannii
PDT000751074.1,470,470,Acinetobacter baumannii
PDT001766034.1,470,470,Acinetobacter baumannii
PDT000837947.1,470,470,Acinetobacter baumannii
PDT001723713.3,470,470,Acinetobacter baumannii
PDT001577279.1,470,470,Acinetobacter baumannii
PDT000885075.1,470,470,Acinetobacter baumannii
PDT001191894.1,470,470,Acinetobacter baumannii
PDT000605843.1,470,470,Acinetobacter baumannii
PDT001273763.3,470,470,Acinetobacter baumannii
PDT002036453.1,470,470,Acinetobacter baumannii
PDT002341459.1,470,470,Acinetobacter baumannii
PDT000945260.2,470,470,Acinetobacter baumannii
PDT001667266.3,470,470,Acinetobacter baumannii
PDT001270216.3,470,470,Acinetobacter baumannii
PDT001877158.1,470,470,Acinetobacter baumannii
PDT001280633.3,470,470,Acinetobacter baumannii
PDT000010123.2,903911,470,Acinetobacter baumannii
PDT001677109.1,470,470,Acinetobacter baumannii
PDT001127703.1,470,470,Acinetobacter baumannii
PDT002143483.1,470,470,Acinetobacter baumannii
PDT001603189.1,470,470,Acinetobacter baumannii
PDT001549246.3,470,470,Acinetobacter baumannii
PDT001615513.3,470,470,Acinetobacter baumannii
PDT002072026.1,470,470,Acinetobacter baumannii
PDT000928446.3,470,470,Acinetobacter baumannii
PDT000659508.1,470,470,Acinetobacter baumannii
PDT002275353.1,470,470,Acinetobacter baumannii
PDT000850585.3,470,470,Acinetobacter baumannii
PDT000175507.1,470,470,Acinetobacter baumannii
PDT001006774.1,470,470,Acinetobacter baumannii
PDT001603030.1,470,470,Acinetobacter baumannii
PDT001115020.1,470,470,Acinetobacter baumannii
PDT000092684.1,470,470,Acinetobacter baumannii
PDT001653497.1,470,470,Acinetobacter baumannii
PDT001640691.4,470,470,Acinetobacter baumannii
PDT002126850.1,470,470,Acinetobacter baumannii
PDT002333969.1,470,470,Acinetobacter baumannii
PDT002143431.1,470,470,Acinetobacter baumannii
PDT002237261.1,470,470,Acinetobacter baumannii
PDT001224749.3,470,470,Acinetobacter baumannii
PDT001603124.1,470,470,Acinetobacter baumannii
PDT001456762.3,470,470,Acinetobacter baumannii
PDT001006893.1,470,470,Acinetobacter baumannii
PDT001325877.1,470,470,Acinetobacter baumannii
PDT001670903.3,470,470,Acinetobacter baumannii
PDT001465490.1,470,470,Acinetobacter baumannii
PDT001653473.1,470,470,Acinetobacter baumannii
PDT000010127.2,1223564,470,Acinetobacter baumannii
PDT001218669.1,470,470,Acinetobacter baumannii
PDT000010834.2,903931,470,Acinetobacter baumannii
PDT001957365.1,470,470,Acinetobacter baumannii
PDT001200307.1,470,470,Acinetobacter baumannii
PDT001957247.1,470,470,Acinetobacter baumannii
PDT002179633.1,470,470,Acinetobacter baumannii
PDT002126967.1,470,470,Acinetobacter baumannii
PDT000899114.3,470,470,Acinetobacter baumannii
PDT000659931.1,470,470,Acinetobacter baumannii
PDT001191348.1,470,470,Acinetobacter baumannii
PDT001231312.1,470,470,Acinetobacter baumannii
PDT000642499.1,470,470,Acinetobacter baumannii
PDT001283730.1,470,470,Acinetobacter baumannii
PDT001766037.1,470,470,Acinetobacter baumannii
PDT000711755.1,470,470,Acinetobacter baumannii
PDT000837115.1,470,470,Acinetobacter baumannii
PDT000659909.1,470,470,Acinetobacter baumannii
PDT000173787.3,470,470,Acinetobacter baumannii
PDT001437549.1,470,470,Acinetobacter baumannii
PDT001506096.1,470,470,Acinetobacter baumannii
PDT001582332.3,470,470,Acinetobacter baumannii
PDT001382978.1,470,470,Acinetobacter baumannii
PDT002059868.1,470,470,Acinetobacter baumannii
PDT000156112.1,470,470,Acinetobacter baumannii
PDT001465482.1,470,470,Acinetobacter baumannii
PDT001010872.1,470,470,Acinetobacter baumannii
PDT002035616.2,470,470,Acinetobacter baumannii
PDT002381635.1,470,470,Acinetobacter baumannii
PDT002241421.1,470,470,Acinetobacter baumannii
PDT000863598.1,470,470,Acinetobacter baumannii
PDT000216832.1,470,470,Acinetobacter baumannii
PDT001817157.1,470,470,Acinetobacter baumannii
PDT001006740.1,470,470,Acinetobacter baumannii
PDT002263087.1,470,470,Acinetobacter baumannii
PDT001994809.1,470,470,Acinetobacter baumannii
PDT001505628.1,470,470,Acinetobacter baumannii
PDT000659948.1,470,470,Acinetobacter baumannii
PDT001757897.2,470,470,Acinetobacter baumannii
PDT001383164.1,470,470,Acinetobacter baumannii
PDT000884972.1,470,470,Acinetobacter baumannii
PDT001505893.1,470,470,Acinetobacter baumannii
PDT001191590.2,470,470,Acinetobacter baumannii
PDT001471023.1,470,470,Acinetobacter baumannii
PDT002204783.1,470,470,Acinetobacter baumannii
PDT000887211.1,470,470,Acinetobacter baumannii
PDT001353206.1,470,470,Acinetobacter baumannii
PDT000746994.1,470,470,Acinetobacter baumannii
PDT001873278.1,470,470,Acinetobacter baumannii
PDT000665241.1,470,470,Acinetobacter baumannii
PDT002035613.2,470,470,Acinetobacter baumannii
PDT001336341.1,470,470,Acinetobacter baumannii
PDT000029876.1,1311070,470,Acinetobacter baumannii
PDT002127187.1,470,470,Acinetobacter baumannii
PDT000660213.1,470,470,Acinetobacter baumannii
PDT000081404.1,470,470,Acinetobacter baumannii
PDT001135278.1,470,470,Acinetobacter baumannii
PDT001671908.1,470,470,Acinetobacter baumannii
PDT002345896.1,470,470,Acinetobacter baumannii
PDT001852782.1,470,470,Acinetobacter baumannii
PDT001825581.2,470,470,Acinetobacter baumannii
PDT001590662.1,470,470,Acinetobacter baumannii
PDT002187404.1,470,470,Acinetobacter baumannii
PDT001115025.1,470,470,Acinetobacter baumannii
PDT001505784.1,470,470,Acinetobacter baumannii
PDT002230537.1,470,470,Acinetobacter baumannii
PDT001241073.1,470,470,Acinetobacter baumannii
PDT002247249.1,470,470,Acinetobacter baumannii
PDT001817140.1,470,470,Acinetobacter baumannii
PDT000659902.1,470,470,Acinetobacter baumannii
PDT002380041.1,470,470,Acinetobacter baumannii
PDT000023810.1,1310777,470,Acinetobacter baumannii
PDT001925781.2,470,470,Acinetobacter baumannii
PDT002046014.1,470,470,Acinetobacter baumannii
PDT000156104.1,470,470,Acinetobacter baumannii
PDT001249926.1,470,470,Acinetobacter baumannii
PDT001200655.1,470,470,Acinetobacter baumannii
PDT000134730.1,470,470,Acinetobacter baumannii
PDT001253224.4,470,470,Acinetobacter baumannii
PDT002173371.2,470,470,Acinetobacter baumannii
PDT000746532.1,470,470,Acinetobacter baumannii
PDT002025910.1,470,470,Acinetobacter baumannii
PDT001485744.3,470,470,Acinetobacter baumannii
PDT000134711.1,470,470,Acinetobacter baumannii
PDT001993131.2,470,470,Acinetobacter baumannii
PDT000162442.2,470,470,Acinetobacter baumannii
PDT000606246.1,470,470,Acinetobacter baumannii
PDT000925800.1,470,470,Acinetobacter baumannii
PDT002148308.1,470,470,Acinetobacter baumannii
PDT001889845.1,470,470,Acinetobacter baumannii
PDT000023944.1,1310930,470,Acinetobacter baumannii
PDT002332567.1,470,470,Acinetobacter baumannii
PDT000503232.1,470,470,Acinetobacter baumannii
PDT002053876.1,470,470,Acinetobacter baumannii
PDT001193468.1,470,470,Acinetobacter baumannii
PDT002241418.1,470,470,Acinetobacter baumannii
PDT001200296.1,470,470,Acinetobacter baumannii
PDT000207264.1,470,470,Acinetobacter baumannii
PDT002059733.1,470,470,Acinetobacter baumannii
PDT000893050.1,470,470,Acinetobacter baumannii
PDT002084013.1,470,470,Acinetobacter baumannii
PDT001462013.1,470,470,Acinetobacter baumannii
PDT000175772.2,470,470,Acinetobacter baumannii
PDT001877140.1,470,470,Acinetobacter baumannii
PDT001360375.1,470,470,Acinetobacter baumannii
PDT002057180.1,470,470,Acinetobacter baumannii
PDT002121781.1,470,470,Acinetobacter baumannii
PDT001336240.1,470,470,Acinetobacter baumannii
PDT000418799.1,470,470,Acinetobacter baumannii
PDT001292534.1,470,470,Acinetobacter baumannii
PDT001505986.1,470,470,Acinetobacter baumannii
PDT001046496.1,470,470,Acinetobacter baumannii
PDT002129987.1,470,470,Acinetobacter baumannii
PDT001717198.3,470,470,Acinetobacter baumannii
PDT002020962.1,470,470,Acinetobacter baumannii
PDT002345865.1,470,470,Acinetobacter baumannii
PDT000932143.3,470,470,Acinetobacter baumannii
PDT002017246.1,470,470,Acinetobacter baumannii
PDT001280907.3,470,470,Acinetobacter baumannii
PDT000417651.1,470,470,Acinetobacter baumannii
PDT001792496.1,470,470,Acinetobacter baumannii
PDT002314324.1,470,470,Acinetobacter baumannii
PDT001814587.2,470,470,Acinetobacter baumannii
PDT001889839.1,470,470,Acinetobacter baumannii
PDT000975908.2,470,470,Acinetobacter baumannii
PDT000114711.2,470,470,Acinetobacter baumannii
PDT000156154.1,470,470,Acinetobacter baumannii
PDT001526446.3,470,470,Acinetobacter baumannii
PDT001310058.1,470,470,Acinetobacter baumannii
PDT001135624.1,470,470,Acinetobacter baumannii
PDT000029896.1,1310673,470,Acinetobacter baumannii
PDT000417677.1,470,470,Acinetobacter baumannii
PDT002239596.1,470,470,Acinetobacter baumannii
PDT001817114.1,470,470,Acinetobacter baumannii
PDT000985300.3,470,470,Acinetobacter baumannii
PDT001488332.2,470,470,Acinetobacter baumannii
PDT002168368.1,470,470,Acinetobacter baumannii
PDT002154413.1,470,470,Acinetobacter baumannii
PDT000209559.1,470,470,Acinetobacter baumannii
PDT002255882.1,470,470,Acinetobacter baumannii
PDT000632446.1,470,470,Acinetobacter baumannii
PDT001383160.1,470,470,Acinetobacter baumannii
PDT000634202.1,470,470,Acinetobacter baumannii
PDT000489646.1,470,470,Acinetobacter baumannii
PDT001491382.1,470,470,Acinetobacter baumannii
PDT000442534.1,470,470,Acinetobacter baumannii
PDT001330357.3,470,470,Acinetobacter baumannii
PDT001006784.1,470,470,Acinetobacter baumannii
PDT000051199.2,470,470,Acinetobacter baumannii
PDT001106417.3,470,470,Acinetobacter baumannii
PDT002163243.1,470,470,Acinetobacter baumannii
PDT001326150.3,470,470,Acinetobacter baumannii
PDT001679525.3,470,470,Acinetobacter baumannii
PDT001292446.1,470,470,Acinetobacter baumannii
PDT002179595.1,470,470,Acinetobacter baumannii
PDT001947787.2,470,470,Acinetobacter baumannii
PDT002179697.1,470,470,Acinetobacter baumannii
PDT001671985.1,470,470,Acinetobacter baumannii
PDT001695718.1,470,470,Acinetobacter baumannii
PDT000156243.1,470,470,Acinetobacter baumannii
PDT001426508.1,470,470,Acinetobacter baumannii
PDT000418816.1,470,470,Acinetobacter baumannii
PDT001595079.1,470,470,Acinetobacter baumannii
PDT002123032.1,470,470,Acinetobacter baumannii
PDT000380170.1,470,470,Acinetobacter baumannii
PDT000659437.1,470,470,Acinetobacter baumannii
PDT002239579.1,470,470,Acinetobacter baumannii
PDT001602910.1,470,470,Acinetobacter baumannii
PDT001250801.1,470,470,Acinetobacter baumannii
PDT000359904.1,470,470,Acinetobacter baumannii
PDT001278485.1,470,470,Acinetobacter baumannii
PDT001210551.3,470,470,Acinetobacter baumannii
PDT001374619.3,470,470,Acinetobacter baumannii
PDT000660231.1,470,470,Acinetobacter baumannii
PDT002260194.1,470,470,Acinetobacter baumannii
PDT000837951.1,470,470,Acinetobacter baumannii
PDT001201058.1,470,470,Acinetobacter baumannii
PDT002045068.1,470,470,Acinetobacter baumannii
PDT000114246.2,470,470,Acinetobacter baumannii
PDT002059561.1,470,470,Acinetobacter baumannii
PDT002314018.1,470,470,Acinetobacter baumannii
PDT000605986.1,470,470,Acinetobacter baumannii
PDT002318205.1,470,470,Acinetobacter baumannii
PDT000106893.2,470,470,Acinetobacter baumannii
PDT001135647.1,470,470,Acinetobacter baumannii
PDT001232616.3,470,470,Acinetobacter baumannii
PDT001193872.1,470,470,Acinetobacter baumannii
PDT001191484.1,470,470,Acinetobacter baumannii
PDT001602929.1,470,470,Acinetobacter baumannii
PDT001571517.1,470,470,Acinetobacter baumannii
PDT000750251.1,470,470,Acinetobacter baumannii
PDT001518597.1,470,470,Acinetobacter baumannii
PDT001264891.3,470,470,Acinetobacter baumannii
PDT001502876.1,470,470,Acinetobacter baumannii
PDT001187965.1,470,470,Acinetobacter baumannii
PDT000659460.1,470,470,Acinetobacter baumannii
PDT001963312.2,470,470,Acinetobacter baumannii
PDT000850538.3,470,470,Acinetobacter baumannii
PDT000746372.1,470,470,Acinetobacter baumannii
PDT001602595.3,470,470,Acinetobacter baumannii
PDT001610180.1,470,470,Acinetobacter baumannii
PDT000106894.2,470,470,Acinetobacter baumannii
PDT001940500.1,470,470,Acinetobacter baumannii
PDT002179577.1,470,470,Acinetobacter baumannii
PDT002059612.1,470,470,Acinetobacter baumannii
PDT000065046.1,470,470,Acinetobacter baumannii
PDT001957011.1,470,470,Acinetobacter baumannii
PDT000659865.1,470,470,Acinetobacter baumannii
PDT001708720.3,470,470,Acinetobacter baumannii
PDT001609316.3,470,470,Acinetobacter baumannii
PDT001817552.2,470,470,Acinetobacter baumannii
PDT002057870.1,470,470,Acinetobacter baumannii
PDT001957043.1,470,470,Acinetobacter baumannii
PDT000887462.1,470,470,Acinetobacter baumannii
PDT000633883.1,470,470,Acinetobacter baumannii
PDT001874290.1,470,470,Acinetobacter baumannii
PDT000660373.1,470,470,Acinetobacter baumannii
PDT002247641.1,470,470,Acinetobacter baumannii
PDT002343257.1,470,470,Acinetobacter baumannii
PDT002247320.1,470,470,Acinetobacter baumannii
PDT001335653.3,470,470,Acinetobacter baumannii
PDT000885000.1,470,470,Acinetobacter baumannii
PDT001925840.2,470,470,Acinetobacter baumannii
PDT002278133.1,470,470,Acinetobacter baumannii
PDT001179049.3,470,470,Acinetobacter baumannii
PDT000342224.2,470,470,Acinetobacter baumannii
PDT001242781.3,470,470,Acinetobacter baumannii
