scientific_name,erd_group,target_acc,asm_acc
Staphylococcus aureus,PDS000143823.1,PDT001710554.1,
Staphylococcus aureus,PDS000143831.1,PDT001710172.1,
Staphylococcus aureus,PDS000143879.1,PDT001710746.1,
Staphylococcus aureus,PDS000143840.1,PDT001710381.1,
Staphylococcus aureus,PDS000133338.1,PDT001579335.1,GCA_027955725.1
Staphylococcus aureus,PDS000111909.1,PDT001337323.1,
Staphylococcus aureus,PDS000112219.1,PDT001344644.1,
Staphylococcus aureus,PDS000111920.1,PDT001337317.1,
Staphylococcus aureus,PDS000111922.1,PDT001337644.1,GCA_024020135.1
Staphylococcus aureus,PDS000112326.1,PDT001344666.1,
Staphylococcus aureus,PDS000111919.1,PDT001337462.1,
Staphylococcus aureus,PDS000112325.1,PDT001344675.1,
Staphylococcus aureus,PDS000175117.1,PDT001736661.1,
Staphylococcus aureus,PDS000135389.1,PDT001600514.1,GCA_028426605.1
Staphylococcus aureus,PDS000100032.1,PDT001193329.1,
Staphylococcus aureus,PDS000077843.2,PDT000879036.1,
Staphylococcus aureus,PDS000122339.1,PDT000887657.1,
Staphylococcus aureus,PDS000135398.1,PDT001600609.1,GCA_028434685.1
Staphylococcus aureus,PDS000129502.2,PDT001509763.1,
Staphylococcus aureus,PDS000126489.4,PDT002033879.1,
Staphylococcus aureus,PDS000126463.1,PDT001509963.1,
Staphylococcus aureus,PDS000126502.5,PDT002033690.1,
Staphylococcus aureus,PDS000135086.2,PDT001598003.1,GCA_028350025.1
Staphylococcus aureus,PDS000135049.2,PDT001597935.2,GCA_028361715.1
Staphylococcus aureus,PDS000127586.1,PDT001523776.1,
Staphylococcus aureus,PDS000127579.1,PDT001523843.1,
Staphylococcus aureus,PDS000113427.12,PDT001579231.1,
Staphylococcus aureus,PDS000175924.2,PDT000805288.2,GCA_903990625.1
Staphylococcus aureus,PDS000142522.1,PDT001696541.1,GCA_030889725.1
Staphylococcus aureus,PDS000132455.2,PDT001572668.1,
Staphylococcus aureus,PDS000135099.1,PDT001596615.1,GCA_028306265.1
Staphylococcus aureus,PDS000135066.1,PDT001596588.1,GCA_028306605.1
Staphylococcus aureus,PDS000136033.1,PDT001607263.1,GCA_028517105.1
Staphylococcus aureus,PDS000133861.9,PDT001639328.1,GCA_028803795.1
Staphylococcus aureus,PDS000130990.1,PDT001557224.1,GCA_027607095.1
Staphylococcus aureus,PDS000134663.1,PDT001592859.1,
Staphylococcus aureus,PDS000130209.1,PDT001550074.1,GCA_027496435.1
Staphylococcus aureus,PDS000133863.1,PDT001583290.1,GCA_028075715.1
Staphylococcus aureus,PDS000091500.1,PDT001071429.1,GCA_018922365.1
Staphylococcus aureus,PDS000108718.31,PDT001294503.1,GCA_023110795.1
Staphylococcus aureus,PDS000129781.1,PDT001544672.1,
Staphylococcus aureus,PDS000129826.2,PDT001544831.1,
Staphylococcus aureus,PDS000175068.5,PDT002090538.1,
Staphylococcus aureus,PDS000067796.5,PDT001617073.1,GCA_028662575.1
Staphylococcus aureus,PDS000109399.1,PDT001306245.1,GCA_023341135.1
Staphylococcus aureus,PDS000129385.1,PDT001540054.1,
Staphylococcus aureus,PDS000128193.4,PDT001903794.1,GCA_032105985.1
Staphylococcus aureus,PDS000129383.2,PDT001540033.1,
Staphylococcus aureus,PDS000129408.1,PDT001540218.1,
Staphylococcus aureus,PDS000129377.1,PDT001540002.1,
Staphylococcus aureus,PDS000129389.1,PDT001540071.1,
Staphylococcus aureus,PDS000129559.1,PDT001539898.1,
Staphylococcus aureus,PDS000129375.1,PDT000995336.1,GCA_017666955.1
Staphylococcus aureus,PDS000175930.1,PDT000804972.2,GCA_903987555.1
Staphylococcus aureus,PDS000153820.1,PDT001824915.1,GCA_032398425.1
Staphylococcus aureus,PDS000131203.4,PDT001700399.1,
Staphylococcus aureus,PDS000129488.3,PDT001648675.1,
Staphylococcus aureus,PDS000165966.1,PDT001977155.1,GCA_033554195.1
Staphylococcus aureus,PDS000165912.1,PDT001977170.1,GCA_033527795.1
Staphylococcus aureus,PDS000165834.1,PDT001977299.1,GCA_033525295.1
Staphylococcus aureus,PDS000165819.1,PDT001976000.1,GCA_033535295.1
Staphylococcus aureus,PDS000165867.1,PDT001976306.1,GCA_033560875.1
Staphylococcus aureus,PDS000165783.1,PDT001976611.1,GCA_033524775.1
Staphylococcus aureus,PDS000165776.1,PDT001976321.1,GCA_033560615.1
Staphylococcus aureus,PDS000165810.1,PDT001976601.1,GCA_033518895.1
Staphylococcus aureus,PDS000140321.1,PDT001669846.1,GCA_029414595.1
Staphylococcus aureus,PDS000170235.1,PDT002032100.1,
Staphylococcus aureus,PDS000170284.1,PDT002032311.1,
Staphylococcus aureus,PDS000170285.1,PDT002032285.1,
Staphylococcus aureus,PDS000154151.2,PDT002032501.1,
Staphylococcus aureus,PDS000160640.1,PDT001902015.1,GCA_032001085.1
Staphylococcus aureus,PDS000160664.2,PDT001914354.1,GCA_032383535.1
Staphylococcus aureus,PDS000161625.1,PDT001915580.1,GCA_032418275.1
Staphylococcus aureus,PDS000172596.2,PDT002064744.1,GCA_036040955.1
Staphylococcus aureus,PDS000198544.1,PDT002379890.1,
Staphylococcus aureus,PDS000170307.1,PDT001510273.1,
Staphylococcus aureus,PDS000170340.1,PDT002033354.1,
Staphylococcus aureus,PDS000170390.1,PDT001510500.1,
Staphylococcus aureus,PDS000170320.1,PDT001510346.1,
Staphylococcus aureus,PDS000175251.3,PDT002117691.1,GCA_963994735.1
Staphylococcus aureus,PDS000190344.1,PDT002280673.1,
Staphylococcus aureus,PDS000192511.1,PDT002314040.1,
Staphylococcus aureus,PDS000189934.4,PDT002277779.1,
Staphylococcus aureus,PDS000189940.4,PDT002277775.1,
Staphylococcus aureus,PDS000144649.1,PDT001717715.1,GCA_029927585.1
Staphylococcus aureus,PDS000093081.2,PDT001570173.1,GCA_028050665.1
Staphylococcus aureus,PDS000093116.1,PDT000108578.2,GCA_015618825.2
Staphylococcus aureus,PDS000133637.1,PDT000108729.2,GCA_015615085.2
Staphylococcus aureus,PDS000093122.6,PDT001565021.1,GCA_027748455.1
Staphylococcus aureus,PDS000093105.2,PDT000108797.2,GCA_015616145.2
Staphylococcus aureus,PDS000132356.1,PDT001571654.1,
Staphylococcus aureus,PDS000135620.1,PDT001601913.1,GCA_028458945.1
Staphylococcus aureus,PDS000069606.1,PDT000070536.2,GCA_001061935.1
Staphylococcus aureus,PDS000127792.2,PDT001567431.1,
Staphylococcus aureus,PDS000127776.1,PDT001527873.1,
Staphylococcus aureus,PDS000132004.1,PDT001527820.1,
Staphylococcus aureus,PDS000069463.2,PDT000772452.2,GCA_903812755.1
Staphylococcus aureus,PDS000093554.1,PDT001097992.1,
Staphylococcus aureus,PDS000136148.3,PDT001888219.1,GCA_031572805.1
Staphylococcus aureus,PDS000069851.1,PDT000551301.1,GCA_015602925.1
Staphylococcus aureus,PDS000112058.11,PDT001343042.1,GCA_023986275.1
Staphylococcus aureus,PDS000142520.1,PDT001696992.1,GCA_029852405.1
Staphylococcus aureus,PDS000135405.2,PDT001600883.1,
Staphylococcus aureus,PDS000070004.1,PDT000589498.1,GCA_015602255.1
Staphylococcus aureus,PDS000069988.1,PDT000589500.1,GCA_015602205.1
Staphylococcus aureus,PDS000129231.1,PDT001539586.1,GCA_027163785.1
Staphylococcus aureus,PDS000125828.1,PDT001503410.1,GCA_026496165.1
Staphylococcus aureus,PDS000125774.2,PDT001503582.1,GCA_026489885.1
Staphylococcus aureus,PDS000125744.2,PDT001503501.1,GCA_026494005.1
Staphylococcus aureus,PDS000068862.3,PDT000164445.2,GCA_001743185.1
Staphylococcus aureus,PDS000068924.3,PDT000358522.2,GCA_900457715.1
Staphylococcus aureus,PDS000076797.1,PDT000903141.1,GCA_015713015.1
Staphylococcus aureus,PDS000125206.2,PDT001498977.1,GCA_026460995.1
Staphylococcus aureus,PDS000125266.2,PDT001500552.2,GCA_026449605.1
Staphylococcus aureus,PDS000125167.2,PDT001499987.5,GCA_026502185.1
Staphylococcus aureus,PDS000125279.3,PDT001498742.7,GCA_026478845.1
Staphylococcus aureus,PDS000125223.2,PDT001499718.4,GCA_026470665.1
Staphylococcus aureus,PDS000125235.6,PDT001499167.5,GCA_026505105.1
Staphylococcus aureus,PDS000125193.2,PDT001500214.1,GCA_026449485.1
Staphylococcus aureus,PDS000125189.2,PDT001499295.5,GCA_026482005.1
Staphylococcus aureus,PDS000125256.2,PDT001498860.1,GCA_026463005.1
Staphylococcus aureus,PDS000125173.2,PDT001499332.5,GCA_026481825.1
Staphylococcus aureus,PDS000125169.2,PDT001500021.4,GCA_026465925.1
Staphylococcus aureus,PDS000125251.2,PDT001500495.1,GCA_026446725.1
Staphylococcus aureus,PDS000125895.1,PDT001500572.4,GCA_026471245.1
Staphylococcus aureus,PDS000125214.2,PDT001499409.1,GCA_026425355.1
Staphylococcus aureus,PDS000125713.2,PDT001499359.5,GCA_026481725.1
Staphylococcus aureus,PDS000125159.2,PDT001500089.4,GCA_026470285.1
Staphylococcus aureus,PDS000125198.2,PDT001499176.1,GCA_026459045.1
Staphylococcus aureus,PDS000069130.3,PDT001981823.1,GCA_033533895.1
Staphylococcus aureus,PDS000127209.2,PDT001516852.1,GCA_026749975.1
Staphylococcus aureus,PDS000134909.1,PDT001539081.1,GCA_027170085.1
Staphylococcus aureus,PDS000150890.1,PDT001601633.1,GCA_028451475.1
Staphylococcus aureus,PDS000132170.3,PDT001568873.1,GCA_027775065.1
Staphylococcus aureus,PDS000127395.2,PDT001568180.1,GCA_027785645.1
Staphylococcus aureus,PDS000132174.1,PDT001568146.1,GCA_027786125.1
Staphylococcus aureus,PDS000132180.1,PDT001568756.1,GCA_027778365.1
Staphylococcus aureus,PDS000132019.2,PDT001568088.1,GCA_027787265.1
Staphylococcus aureus,PDS000132163.1,PDT001568323.1,
Staphylococcus aureus,PDS000132157.1,PDT001568113.1,GCA_027786645.1
Staphylococcus aureus,PDS000132225.1,PDT001569076.1,
Staphylococcus aureus,PDS000127400.2,PDT001521828.1,GCA_026823635.1
Staphylococcus aureus,PDS000132176.1,PDT001568110.1,GCA_027786705.1
Staphylococcus aureus,PDS000132185.2,PDT001568225.1,GCA_027784865.1
Staphylococcus aureus,PDS000132141.1,PDT001568278.1,GCA_027784045.1
Staphylococcus aureus,PDS000132024.2,PDT001568667.1,GCA_027883485.1
Staphylococcus aureus,PDS000132182.1,PDT001568904.1,GCA_027774505.1
Staphylococcus aureus,PDS000069055.1,PDT000210205.2,GCA_002125985.1
Staphylococcus aureus,PDS000129472.3,PDT001556694.1,
Staphylococcus aureus,PDS000126464.1,PDT001508714.1,GCA_026607035.1
Staphylococcus aureus,PDS000126542.2,PDT001508689.1,GCA_026607715.1
Staphylococcus aureus,PDS000140314.1,PDT001670247.1,GCA_029421935.1
Staphylococcus aureus,PDS000130998.1,PDT001557589.1,GCA_027600835.1
Staphylococcus aureus,PDS000068876.1,PDT000294200.2,GCA_002982975.1
Staphylococcus aureus,PDS000068784.1,PDT000349412.2,GCA_003309235.1
Staphylococcus aureus,PDS000136770.1,PDT001616978.1,
Staphylococcus aureus,PDS000068765.1,PDT000355155.2,GCA_003328385.1
Staphylococcus aureus,PDS000076882.4,PDT001998225.1,GCA_033915685.1
Staphylococcus aureus,PDS000076887.1,PDT000904560.1,GCA_015726685.1
Staphylococcus aureus,PDS000129376.11,PDT001652931.1,GCA_029034025.1
Staphylococcus aureus,PDS000069053.21,PDT001585822.1,
Staphylococcus aureus,PDS000069761.1,PDT000383842.2,GCA_003583815.1
Staphylococcus aureus,PDS000076724.2,PDT000878556.2,GCA_016082795.1
Staphylococcus aureus,PDS000135449.1,PDT001600468.1,GCA_028417115.1
Staphylococcus aureus,PDS000076917.2,PDT000904209.1,GCA_015713335.1
Staphylococcus aureus,PDS000127643.1,PDT001525636.1,GCA_026892515.1
Staphylococcus aureus,PDS000127651.3,PDT001538745.1,GCA_027147085.1
Staphylococcus aureus,PDS000068214.1,PDT000498575.2,GCA_005048415.1
Staphylococcus aureus,PDS000141301.1,PDT001679656.1,GCA_029595885.1
Staphylococcus aureus,PDS000068216.1,PDT000578278.2,GCA_008123665.1
Staphylococcus aureus,PDS000068533.1,PDT000813873.1,GCA_009461855.1
Staphylococcus aureus,PDS000136141.1,PDT001609719.1,GCA_028553345.1
Staphylococcus aureus,PDS000128112.1,PDT001530349.1,GCA_027245305.1
Staphylococcus aureus,PDS000128135.1,PDT001530346.1,GCA_027245385.1
Staphylococcus aureus,PDS000128141.1,PDT001530390.1,GCA_027244335.1
Staphylococcus aureus,PDS000128121.1,PDT001530607.1,GCA_027193425.1
Staphylococcus aureus,PDS000128201.1,PDT001530787.1,GCA_027188065.1
Staphylococcus aureus,PDS000128043.1,PDT001530028.1,GCA_027253935.1
Staphylococcus aureus,PDS000128035.1,PDT001530862.1,GCA_027186625.1
Staphylococcus aureus,PDS000128244.1,PDT001530792.1,GCA_027187965.1
Staphylococcus aureus,PDS000128011.1,PDT001531239.1,GCA_027179175.1
Staphylococcus aureus,PDS000128264.1,PDT001530911.1,GCA_027185745.1
Staphylococcus aureus,PDS000128262.1,PDT001530900.1,GCA_027185965.1
Staphylococcus aureus,PDS000082096.3,PDT000972635.1,GCA_016920435.1
Staphylococcus aureus,PDS000069738.1,PDT000693541.2,GCA_011026565.1
Staphylococcus aureus,PDS000069735.1,PDT000693572.2,GCA_011027165.1
Staphylococcus aureus,PDS000069770.1,PDT000693553.2,GCA_011026795.1
Staphylococcus aureus,PDS000069764.1,PDT000693460.2,GCA_011024945.1
Staphylococcus aureus,PDS000127900.1,PDT001526777.1,GCA_026916615.1
Staphylococcus aureus,PDS000069877.2,PDT000648598.2,GCA_009753005.1
Staphylococcus aureus,PDS000069843.1,PDT000648647.2,GCA_009754325.1
Staphylococcus aureus,PDS000069890.2,PDT000648584.2,GCA_009752725.1
Staphylococcus aureus,PDS000068022.2,PDT001017156.1,GCA_018213865.1
Staphylococcus aureus,PDS000126986.1,PDT001515852.1,GCA_026728355.1
Staphylococcus aureus,PDS000126998.1,PDT001515818.1,GCA_026732595.1
Staphylococcus aureus,PDS000135254.1,PDT001509470.1,GCA_026598275.1
Staphylococcus aureus,PDS000135825.1,PDT001606578.1,
Staphylococcus aureus,PDS000135806.1,PDT001606576.1,
Staphylococcus aureus,PDS000135832.1,PDT001606586.1,
Staphylococcus aureus,PDS000103527.1,PDT001231696.1,GCA_021576175.1
Staphylococcus aureus,PDS000103492.1,PDT001231724.1,GCA_021576735.1
Staphylococcus aureus,PDS000103517.1,PDT001231627.1,GCA_021574795.1
Staphylococcus aureus,PDS000103499.1,PDT001231733.1,GCA_021576915.1
Staphylococcus aureus,PDS000084606.2,PDT001006006.1,GCA_017919915.1
Staphylococcus aureus,PDS000069217.2,PDT001005936.1,GCA_017918515.1
Staphylococcus aureus,PDS000129277.1,PDT001538738.1,GCA_027147245.1
Staphylococcus aureus,PDS000127682.2,PDT001525533.1,GCA_026894155.1
Staphylococcus aureus,PDS000129256.1,PDT001538781.1,GCA_027146145.1
Staphylococcus aureus,PDS000129271.1,PDT001538656.1,GCA_027149345.1
Staphylococcus aureus,PDS000133563.1,PDT001579865.1,GCA_027999305.1
Staphylococcus aureus,PDS000133537.1,PDT001579812.1,GCA_028000185.1
