scientific_name,erd_group,target_acc,Sample_Name
Acinetobacter baumannii,PDS000135591.1,PDT001603345.1,PDT001603345_1
Acinetobacter baumannii,PDS000055386.2,PDT000659372.1,PDT000659372_1
Acinetobacter baumannii,PDS000159914.1,PDT001898726.1,PDT001898726_1
Acinetobacter baumannii,PDS000103480.1,PDT001231420.1,PDT001231420_1
Acinetobacter baumannii,PDS000047371.1,PDT000480728.1,PDT000480728_1
Acinetobacter baumannii,PDS000071628.2,PDT000837069.1,PDT000837069_1
Acinetobacter baumannii,PDS000108577.1,PDT001292521.1,PDT001292521_1
Acinetobacter baumannii,PDS000155983.1,PDT001852424.1,PDT001852424_1
Acinetobacter baumannii,PDS000060520.2,PDT000714814.1,PDT000714814_1
Acinetobacter baumannii,PDS000111771.1,PDT000209523.1,PDT000209523_1
Acinetobacter baumannii,PDS000159252.1,PDT000290055.1,PDT000290055_1
Acinetobacter baumannii,PDS000150942.4,PDT001157486.5,PDT001157486_5
Acinetobacter baumannii,PDS000105161.8,PDT001253783.3,PDT001253783_3
Acinetobacter baumannii,PDS000097775.8,PDT001505890.1,PDT001505890_1
Acinetobacter baumannii,PDS000181716.2,PDT002036476.1,PDT002036476_1
Acinetobacter baumannii,PDS000009774.9,PDT000173787.3,PDT000173787_3
Acinetobacter baumannii,PDS000135598.1,PDT001603275.1,PDT001603275_1
Acinetobacter baumannii,PDS000071690.1,PDT000837941.1,PDT000837941_1
Acinetobacter baumannii,PDS000119669.1,PDT001436827.1,PDT001436827_1
Acinetobacter baumannii,PDS000040296.2,PDT000431562.1,PDT000431562_1
Acinetobacter baumannii,PDS000175836.3,PDT002134022.1,PDT002134022_1
Acinetobacter baumannii,PDS000164548.1,PDT001961310.1,PDT001961310_1
Acinetobacter baumannii,PDS000183779.1,PDT002179644.1,PDT002179644_1
Acinetobacter baumannii,PDS000085570.18,PDT001537687.3,PDT001537687_3
Acinetobacter baumannii,PDS000115794.20,PDT001662651.3,PDT001662651_3
Acinetobacter baumannii,PDS000133908.1,PDT001585393.1,PDT001585393_1
Acinetobacter baumannii,PDS000175838.1,PDT002098387.1,PDT002098387_1
Acinetobacter baumannii,PDS000060521.4,PDT001602903.1,PDT001602903_1
Acinetobacter baumannii,PDS000111770.1,PDT000113789.2,PDT000113789_2
Acinetobacter baumannii,PDS000181048.1,PDT002140780.1,PDT002140780_1
Acinetobacter baumannii,PDS000179714.1,PDT002082788.1,PDT002082788_1
Acinetobacter baumannii,PDS000023316.18,PDT001009193.1,PDT001009193_1
Acinetobacter baumannii,PDS000076707.13,PDT002225255.1,PDT002225255_1
Acinetobacter baumannii,PDS000131074.5,PDT001561875.3,PDT001561875_3
Acinetobacter baumannii,PDS000047384.1,PDT000217697.1,PDT000217697_1
Acinetobacter baumannii,PDS000124910.1,PDT001494930.1,PDT001494930_1
Acinetobacter baumannii,PDS000187237.1,PDT002236499.1,PDT002236499_1
Acinetobacter baumannii,PDS000101622.27,PDT001456712.3,PDT001456712_3
Acinetobacter baumannii,PDS000152626.12,PDT002381721.1,PDT002381721_1
Acinetobacter baumannii,PDS000142336.1,PDT001695694.1,PDT001695694_1
Acinetobacter baumannii,PDS000159910.1,PDT001898908.1,PDT001898908_1
Acinetobacter baumannii,PDS000159909.2,PDT001898869.1,PDT001898869_1
Acinetobacter baumannii,PDS000100317.1,PDT001192412.1,PDT001192412_1
Acinetobacter baumannii,PDS000047385.1,PDT000209519.1,PDT000209519_1
Acinetobacter baumannii,PDS000181685.3,PDT002152121.1,PDT002152121_1
Acinetobacter baumannii,PDS000154917.1,PDT001842117.1,PDT001842117_1
Acinetobacter baumannii,PDS000026071.2,PDT001292480.1,PDT001292480_1
Acinetobacter baumannii,PDS000169992.1,PDT002029810.1,PDT002029810_1
Acinetobacter baumannii,PDS000164439.1,PDT001435634.1,PDT001435634_1
Acinetobacter baumannii,PDS000039212.3,PDT000417624.1,PDT000417624_1
Acinetobacter baumannii,PDS000172258.2,PDT002045991.1,PDT002045991_1
Acinetobacter baumannii,PDS000187622.1,PDT002239519.1,PDT002239519_1
Acinetobacter baumannii,PDS000084726.1,PDT001006717.1,PDT001006717_1
Acinetobacter baumannii,PDS000153813.1,PDT001825573.2,PDT001825573_2
Acinetobacter baumannii,PDS000049560.2,PDT000568121.1,PDT000568121_1
Acinetobacter baumannii,PDS000008585.1,PDT000156191.1,PDT000156191_1
Acinetobacter baumannii,PDS000071624.1,PDT000837109.1,PDT000837109_1
Acinetobacter baumannii,PDS000094308.1,PDT001010882.1,PDT001010882_1
Acinetobacter baumannii,PDS000126139.1,PDT001505739.1,PDT001505739_1
Acinetobacter baumannii,PDS000074318.42,PDT001067664.3,PDT001067664_3
Acinetobacter baumannii,PDS000136522.21,PDT001907000.2,PDT001907000_2
Acinetobacter baumannii,PDS000176369.1,PDT002100439.1,PDT002100439_1
Acinetobacter baumannii,PDS000005669.13,PDT000045329.2,PDT000045329_2
Acinetobacter baumannii,PDS000148123.1,PDT001766024.1,PDT001766024_1
Acinetobacter baumannii,PDS000149338.5,PDT001860351.1,PDT001860351_1
Acinetobacter baumannii,PDS000070277.42,PDT002082770.1,PDT002082770_1
Acinetobacter baumannii,PDS000073534.8,PDT000863575.1,PDT000863575_1
Acinetobacter baumannii,PDS000121116.2,PDT001471027.1,PDT001471027_1
Acinetobacter baumannii,PDS000053770.6,PDT002126679.1,PDT002126679_1
Acinetobacter baumannii,PDS000046886.1,PDT000534377.1,PDT000534377_1
Acinetobacter baumannii,PDS000179238.3,PDT000356860.1,PDT000356860_1
Acinetobacter baumannii,PDS000136718.14,PDT001598588.3,PDT001598588_3
Acinetobacter baumannii,PDS000134356.5,PDT001257330.3,PDT001257330_3
Acinetobacter baumannii,PDS000159908.1,PDT001898899.1,PDT001898899_1
Acinetobacter baumannii,PDS000047435.1,PDT000209080.1,PDT000209080_1
Acinetobacter baumannii,PDS000192596.1,PDT002316175.1,PDT002316175_1
Acinetobacter baumannii,PDS000173096.1,PDT002072022.1,PDT002072022_1
Acinetobacter baumannii,PDS000103468.1,PDT001231312.1,PDT001231312_1
Acinetobacter baumannii,PDS000188898.1,PDT001505986.1,PDT001505986_1
Acinetobacter baumannii,PDS000073963.1,PDT000866539.1,PDT000866539_1
Acinetobacter baumannii,PDS000175832.1,PDT002098576.1,PDT002098576_1
Acinetobacter baumannii,PDS000152261.3,PDT001258011.3,PDT001258011_3
Acinetobacter baumannii,PDS000153372.1,PDT001820076.1,PDT001820076_1
Acinetobacter baumannii,PDS000047355.8,PDT000173765.3,PDT000173765_3
Acinetobacter baumannii,PDS000097581.6,PDT001157493.6,PDT001157493_6
Acinetobacter baumannii,PDS000078251.3,PDT000945232.2,PDT000945232_2
Acinetobacter baumannii,PDS000047441.1,PDT000387350.1,PDT000387350_1
Acinetobacter baumannii,PDS000103898.1,PDT001132720.1,PDT001132720_1
Acinetobacter baumannii,PDS000126140.1,PDT001505611.1,PDT001505611_1
Acinetobacter baumannii,PDS000179760.2,PDT002123305.1,PDT002123305_1
Acinetobacter baumannii,PDS000165196.1,PDT001971174.1,PDT001971174_1
Acinetobacter baumannii,PDS000135586.1,PDT001603146.1,PDT001603146_1
Acinetobacter baumannii,PDS000056633.2,PDT000683283.1,PDT000683283_1
Acinetobacter baumannii,PDS000121081.5,PDT001151712.3,PDT001151712_3
Acinetobacter baumannii,PDS000121869.2,PDT000660392.1,PDT000660392_1
Acinetobacter baumannii,PDS000156508.3,PDT001860317.1,PDT001860317_1
Acinetobacter baumannii,PDS000187645.1,PDT002239561.1,PDT002239561_1
Acinetobacter baumannii,PDS000122101.6,PDT001473385.3,PDT001473385_3
Acinetobacter baumannii,PDS000105081.1,PDT001251840.1,PDT001251840_1
Acinetobacter baumannii,PDS000153174.2,PDT000300595.1,PDT000300595_1
Acinetobacter baumannii,PDS000005690.6,PDT000209509.1,PDT000209509_1
Acinetobacter baumannii,PDS000199353.1,PDT001242751.2,PDT001242751_2
Acinetobacter baumannii,PDS000100315.1,PDT001194218.1,PDT001194218_1
Acinetobacter baumannii,PDS000121873.1,PDT001469591.1,PDT001469591_1
Acinetobacter baumannii,PDS000179981.1,PDT002127181.1,PDT002127181_1
Acinetobacter baumannii,PDS000040298.1,PDT000431512.1,PDT000431512_1
Acinetobacter baumannii,PDS000152258.6,PDT000897254.3,PDT000897254_3
Acinetobacter baumannii,PDS000163081.2,PDT001940671.1,PDT001940671_1
Acinetobacter baumannii,PDS000135584.1,PDT001603245.1,PDT001603245_1
Acinetobacter baumannii,PDS000187646.1,PDT002152138.1,PDT002152138_1
Acinetobacter baumannii,PDS000126117.3,PDT001506416.1,PDT001506416_1
Acinetobacter baumannii,PDS000063577.2,PDT000893027.1,PDT000893027_1
Acinetobacter baumannii,PDS000117808.2,PDT001506231.1,PDT001506231_1
Acinetobacter baumannii,PDS000063239.1,PDT000746995.1,PDT000746995_1
Acinetobacter baumannii,PDS000192479.1,PDT002313755.1,PDT002313755_1
Acinetobacter baumannii,PDS000122284.1,PDT000887212.1,PDT000887212_1
Acinetobacter baumannii,PDS000178428.1,PDT002111472.1,PDT002111472_1
Acinetobacter baumannii,PDS000115791.9,PDT001391302.3,PDT001391302_3
Acinetobacter baumannii,PDS000118098.9,PDT002225251.1,PDT002225251_1
Acinetobacter baumannii,PDS000133907.1,PDT001585397.1,PDT001585397_1
Acinetobacter baumannii,PDS000113434.1,PDT001355196.1,PDT001355196_1
Acinetobacter baumannii,PDS000135669.1,PDT001604481.1,PDT001604481_1
Acinetobacter baumannii,PDS000047388.1,PDT000208237.1,PDT000208237_1
Acinetobacter baumannii,PDS000153256.4,PDT002129613.1,PDT002129613_1
Acinetobacter baumannii,PDS000188190.1,PDT002247598.1,PDT002247598_1
Acinetobacter baumannii,PDS000153374.1,PDT001820010.1,PDT001820010_1
Acinetobacter baumannii,PDS000182924.1,PDT002168802.1,PDT002168802_1
Acinetobacter baumannii,PDS000020212.1,PDT000318203.1,PDT000318203_1
Acinetobacter baumannii,PDS000111774.1,PDT001336291.1,PDT001336291_1
Acinetobacter baumannii,PDS000187654.1,PDT002239528.1,PDT002239528_1
Acinetobacter baumannii,PDS000016959.3,PDT000102161.1,PDT000102161_1
Acinetobacter baumannii,PDS000076240.1,PDT000893028.1,PDT000893028_1
Acinetobacter baumannii,PDS000198643.3,PDT000908007.3,PDT000908007_3
Acinetobacter baumannii,PDS000137354.1,PDT000659362.1,PDT000659362_1
Acinetobacter baumannii,PDS000126155.1,PDT001506035.1,PDT001506035_1
Acinetobacter baumannii,PDS000159896.1,PDT001898727.1,PDT001898727_1
Acinetobacter baumannii,PDS000152260.4,PDT000968697.3,PDT000968697_3
Acinetobacter baumannii,PDS000199201.1,PDT002344717.1,PDT002344717_1
Acinetobacter baumannii,PDS000115299.1,PDT001383162.1,PDT001383162_1
Acinetobacter baumannii,PDS000075027.75,PDT001962540.2,PDT001962540_2
Acinetobacter baumannii,PDS000115792.5,PDT001391293.3,PDT001391293_3
Acinetobacter baumannii,PDS000152244.3,PDT000901864.3,PDT000901864_3
Acinetobacter baumannii,PDS000039313.2,PDT001889846.1,PDT001889846_1
Acinetobacter baumannii,PDS000188901.1,PDT002261649.1,PDT002261649_1
Acinetobacter baumannii,PDS000136355.1,PDT001612418.1,PDT001612418_1
Acinetobacter baumannii,PDS000077794.1,PDT000790035.1,PDT000790035_1
Acinetobacter baumannii,PDS000183783.1,PDT002179747.1,PDT002179747_1
Acinetobacter baumannii,PDS000012945.1,PDT000209476.1,PDT000209476_1
Acinetobacter baumannii,PDS000151171.1,PDT001795782.1,PDT001795782_1
Acinetobacter baumannii,PDS000012747.2,PDT000208236.1,PDT000208236_1
Acinetobacter baumannii,PDS000129746.14,PDT001615310.3,PDT001615310_3
Acinetobacter baumannii,PDS000183165.1,PDT002172124.1,PDT002172124_1
Acinetobacter baumannii,PDS000195228.8,PDT000046728.3,PDT000046728_3
Acinetobacter baumannii,PDS000055378.1,PDT000659452.1,PDT000659452_1
Acinetobacter baumannii,PDS000116555.4,PDT001400556.1,PDT001400556_1
Acinetobacter baumannii,PDS000090294.1,PDT001046521.1,PDT001046521_1
Acinetobacter baumannii,PDS000005822.5,PDT000114317.2,PDT000114317_2
Acinetobacter baumannii,PDS000062502.95,PDT001670850.3,PDT001670850_3
Acinetobacter baumannii,PDS000107749.1,PDT001283645.1,PDT001283645_1
Acinetobacter baumannii,PDS000130105.1,PDT001549634.1,PDT001549634_1
Acinetobacter baumannii,PDS000126136.1,PDT001506013.1,PDT001506013_1
Acinetobacter baumannii,PDS000134802.1,PDT001593366.1,PDT001593366_1
Acinetobacter baumannii,PDS000118353.20,PDT001561904.3,PDT001561904_3
Acinetobacter baumannii,PDS000153806.2,PDT001825549.2,PDT001825549_2
Acinetobacter baumannii,PDS000113302.10,PDT001419949.3,PDT001419949_3
Acinetobacter baumannii,PDS000121465.1,PDT001465478.1,PDT001465478_1
Acinetobacter baumannii,PDS000097995.4,PDT001164048.3,PDT001164048_3
Acinetobacter baumannii,PDS000187633.1,PDT002239505.1,PDT002239505_1
Acinetobacter baumannii,PDS000176373.1,PDT001961400.2,PDT001961400_2
Acinetobacter baumannii,PDS000138331.6,PDT001676448.1,PDT001676448_1
Acinetobacter baumannii,PDS000120347.2,PDT001973261.1,PDT001973261_1
Acinetobacter baumannii,PDS000195226.2,PDT001465461.1,PDT001465461_1
Acinetobacter baumannii,PDS000115012.7,PDT001379795.3,PDT001379795_3
Acinetobacter baumannii,PDS000063229.1,PDT000746468.1,PDT000746468_1
Acinetobacter baumannii,PDS000046903.2,PDT000534390.1,PDT000534390_1
Acinetobacter baumannii,PDS000077092.7,PDT000907996.3,PDT000907996_3
Acinetobacter baumannii,PDS000100021.1,PDT001192409.1,PDT001192409_1
Acinetobacter baumannii,PDS000047365.3,PDT001336323.1,PDT001336323_1
Acinetobacter baumannii,PDS000174923.1,PDT002087869.1,PDT002087869_1
Acinetobacter baumannii,PDS000012940.2,PDT000209071.1,PDT000209071_1
Acinetobacter baumannii,PDS000173782.1,PDT002059696.1,PDT002059696_1
Acinetobacter baumannii,PDS000135569.1,PDT001603140.1,PDT001603140_1
Acinetobacter baumannii,PDS000134807.7,PDT001044804.3,PDT001044804_3
Acinetobacter baumannii,PDS000181482.1,PDT001792543.1,PDT001792543_1
Acinetobacter baumannii,PDS000041342.1,PDT000442647.1,PDT000442647_1
Acinetobacter baumannii,PDS000199199.1,PDT002389078.1,PDT002389078_1
Acinetobacter baumannii,PDS000005662.11,PDT000107131.2,PDT000107131_2
Acinetobacter baumannii,PDS000073959.1,PDT000866579.1,PDT000866579_1
Acinetobacter baumannii,PDS000188377.1,PDT002250824.1,PDT002250824_1
Acinetobacter baumannii,PDS000173768.1,PDT002059658.1,PDT002059658_1
Acinetobacter baumannii,PDS000047395.1,PDT000222342.1,PDT000222342_1
Acinetobacter baumannii,PDS000115302.1,PDT001383038.1,PDT001383038_1
Acinetobacter baumannii,PDS000055367.21,PDT001174155.3,PDT001174155_3
Acinetobacter baumannii,PDS000126124.1,PDT000863574.1,PDT000863574_1
Acinetobacter baumannii,PDS000053059.1,PDT000623256.1,PDT000623256_1
Acinetobacter baumannii,PDS000055545.2,PDT000662300.1,PDT000662300_1
Acinetobacter baumannii,PDS000063241.1,PDT000747274.1,PDT000747274_1
Acinetobacter baumannii,PDS000170124.3,PDT001618836.3,PDT001618836_3
Acinetobacter baumannii,PDS000164547.1,PDT001822719.1,PDT001822719_1
Acinetobacter baumannii,PDS000055440.2,PDT001008958.1,PDT001008958_1
Acinetobacter baumannii,PDS000126157.6,PDT001506360.1,PDT001506360_1
Acinetobacter baumannii,PDS000188902.1,PDT001426512.1,PDT001426512_1
Acinetobacter baumannii,PDS000047393.1,PDT000482871.1,PDT000482871_1
Acinetobacter baumannii,PDS000199358.1,PDT001435632.1,PDT001435632_1
Acinetobacter baumannii,PDS000047440.1,PDT000387378.1,PDT000387378_1
Acinetobacter baumannii,PDS000124903.1,PDT001494031.1,PDT001494031_1
Acinetobacter baumannii,PDS000103020.1,PDT001225603.1,PDT001225603_1
Acinetobacter baumannii,PDS000122294.1,PDT001191782.2,PDT001191782_2
Acinetobacter baumannii,PDS000131692.7,PDT001114948.1,PDT001114948_1
Acinetobacter baumannii,PDS000039311.2,PDT000418766.1,PDT000418766_1
Acinetobacter baumannii,PDS000009771.5,PDT000173802.3,PDT000173802_3
Acinetobacter baumannii,PDS000184449.2,PDT002313536.1,PDT002313536_1
Acinetobacter baumannii,PDS000179758.1,PDT000361029.1,PDT000361029_1
Acinetobacter baumannii,PDS000197042.1,PDT002364868.1,PDT002364868_1
Acinetobacter baumannii,PDS000101054.1,PDT001200630.1,PDT001200630_1
Acinetobacter baumannii,PDS000047400.6,PDT000880385.1,PDT000880385_1
Acinetobacter baumannii,PDS000100745.18,PDT001226518.3,PDT001226518_3
Acinetobacter baumannii,PDS000055413.1,PDT000659976.1,PDT000659976_1
Acinetobacter baumannii,PDS000189907.1,PDT002277481.1,PDT002277481_1
Acinetobacter baumannii,PDS000098631.32,PDT001505928.1,PDT001505928_1
Acinetobacter baumannii,PDS000102418.1,PDT001218569.1,PDT001218569_1
Acinetobacter baumannii,PDS000047436.5,PDT002277480.1,PDT002277480_1
Acinetobacter baumannii,PDS000037587.7,PDT000729675.1,PDT000729675_1
Acinetobacter baumannii,PDS000039317.1,PDT000418758.1,PDT000418758_1
Acinetobacter baumannii,PDS000193849.1,PDT002332921.1,PDT002332921_1
Acinetobacter baumannii,PDS000054247.1,PDT000642556.1,PDT000642556_1
Acinetobacter baumannii,PDS000079856.1,PDT000943826.1,PDT000943826_1
Acinetobacter baumannii,PDS000151175.1,PDT001795779.1,PDT001795779_1
Acinetobacter baumannii,PDS000129095.1,PDT001538530.1,PDT001538530_1
Acinetobacter baumannii,PDS000133048.1,PDT001577280.1,PDT001577280_1
Acinetobacter baumannii,PDS000126127.2,PDT001506393.1,PDT001506393_1
Acinetobacter baumannii,PDS000136129.10,PDT001810531.2,PDT001810531_2
Acinetobacter baumannii,PDS000026201.3,PDT000304619.1,PDT000304619_1
Acinetobacter baumannii,PDS000098114.7,PDT001290930.3,PDT001290930_3
Acinetobacter baumannii,PDS000124906.1,PDT001194566.1,PDT001194566_1
Acinetobacter baumannii,PDS000005671.92,PDT000884401.1,PDT000884401_1
Acinetobacter baumannii,PDS000173601.1,PDT001940672.1,PDT001940672_1
Acinetobacter baumannii,PDS000172255.1,PDT002056809.1,PDT002056809_1
Acinetobacter baumannii,PDS000135596.1,PDT001603340.1,PDT001603340_1
