target_acc,asm_acc
PDT000219971.1,GCA_002202255.1
PDT001358031.2,GCA_024242755.2
PDT002260204.1,GCA_040778765.1
PDT002391475.1,
PDT002251077.1,GCA_040691505.1
PDT001878370.1,GCA_031318655.1
PDT000369944.1,GCA_900500795.1
PDT001336692.1,GCA_023757025.1
PDT001774643.2,GCA_031033905.2
PDT000633333.1,
PDT002390127.1,GCA_042146945.1
PDT001769393.1,GCA_947574945.1
PDT002391458.1,
PDT000217894.1,GCA_002189415.1
PDT000714380.1,GCA_011683205.1
PDT001365583.1,GCA_024355435.1
PDT001265345.1,
PDT000745705.1,
PDT001828999.3,GCA_031014025.2
PDT002388110.1,GCA_042162915.1
PDT002391440.1,
PDT000752591.2,GCA_013187605.1
PDT001141169.1,GCA_020178245.1
PDT001878354.1,GCA_031318355.1
PDT002391472.1,
PDT000633300.1,
PDT002067568.1,GCA_036472145.1
PDT001282726.2,GCA_022857245.1
PDT000842842.1,GCA_014673415.1
PDT002390443.1,
PDT002381700.1,
PDT000097245.1,GCA_001462555.1
PDT002391414.1,
PDT000435427.1,GCA_022264115.1
PDT000986882.1,GCA_022007975.1
PDT002091430.1,
PDT000672215.1,GCA_022205045.1
PDT000318223.1,GCA_003116205.1
PDT000369913.1,GCA_900517625.1
PDT000537878.1,
PDT001243300.1,GCA_022162265.1
PDT000874097.2,
PDT000443138.1,
PDT000442161.1,
PDT001705574.1,GCA_030799845.1
PDT001198379.1,GCA_021871915.1
PDT001370208.1,GCA_024473045.1
PDT001370201.1,GCA_024453065.1
PDT002376757.1,
PDT000370568.1,GCA_900507885.1
PDT000715140.1,GCA_022194405.1
PDT000427126.1,GCA_022292235.1
PDT000535601.1,
PDT000370351.1,GCA_900506055.1
PDT000427523.1,GCA_022288395.1
PDT000370513.1,GCA_900506335.1
PDT000716631.1,
PDT000441003.1,GCA_022246745.1
PDT000440997.1,GCA_022246865.1
PDT000440986.1,GCA_022247145.1
PDT000438121.1,
PDT000438152.1,
PDT002292006.1,GCA_041037805.1
PDT000425247.1,
PDT000425337.1,
PDT000896244.1,GCA_015643785.1
PDT000423579.1,GCA_022296955.1
PDT000423754.1,GCA_022294015.1
PDT000423678.1,GCA_022295195.1
PDT000354522.1,GCA_900492895.1
PDT001005909.1,GCA_017921935.1
PDT000442426.1,
PDT000451859.1,
PDT000447301.1,
PDT000537591.1,
PDT000536021.1,
PDT000577664.1,
PDT000536229.1,
PDT000577587.1,
PDT000445050.1,
PDT001198669.1,
PDT001198576.1,
PDT000438570.1,
PDT000438393.1,GCA_022255415.1
PDT000618039.1,
PDT001092186.1,
PDT001092368.1,GCA_021917905.1
PDT002383460.1,GCA_041926735.1
PDT001243376.1,GCA_022161825.1
PDT001092050.1,GCA_021922685.1
PDT000613676.1,
PDT000586857.1,GCA_008374935.1
PDT000618492.1,
PDT000919320.1,GCA_022031355.1
PDT001316924.1,GCA_023596165.1
PDT000706779.1,
PDT001209178.1,GCA_021857025.1
PDT000614890.1,
PDT000650128.1,
PDT001217180.1,
PDT000632796.1,
PDT000633408.1,
PDT000747290.1,
PDT001003083.1,GCA_021987415.1
PDT000595213.1,GCA_900559935.1
PDT001655817.1,GCA_029078275.1
PDT000801559.1,GCA_014041115.1
PDT000747353.1,
PDT000746458.1,
PDT001193930.1,
PDT001192986.1,
PDT001193073.1,
PDT001192960.1,
PDT001702958.1,GCA_030820175.1
PDT000423772.1,GCA_022293735.1
PDT001193031.1,
PDT001192141.1,
PDT000714969.1,GCA_022197365.1
PDT001194326.1,
PDT001192546.1,
PDT001192185.1,
PDT001558988.1,
PDT000886694.1,
PDT002343436.1,GCA_964215595.1
PDT001491405.1,
PDT001191239.1,
PDT000887799.1,
PDT001244784.1,GCA_022110415.1
PDT001262782.1,GCA_022544975.1
PDT000887003.1,
PDT000922089.1,
PDT001033293.1,GCA_018359285.1
PDT001007797.1,
PDT000749255.1,
PDT001185072.2,GCA_905232885.2
PDT000535768.1,GCA_022324345.1
PDT000489816.1,GCA_900775775.1
PDT001007093.1,GCA_017975295.1
PDT001548679.1,
PDT001273634.1,
PDT000370028.1,GCA_900501605.1
PDT000944233.1,
PDT000944289.1,
PDT000675327.1,
PDT000716548.1,GCA_022186405.1
PDT001289760.1,GCA_023022545.1
PDT000672293.1,GCA_022204965.1
PDT000716678.1,
PDT001504972.1,GCA_026527955.1
PDT001216798.1,
PDT001216644.1,
PDT001216738.1,
PDT001777382.1,
PDT001777327.1,
PDT001548725.1,
PDT001587363.1,
PDT001194304.1,
PDT001586584.1,
PDT001548841.1,
PDT001589000.1,
PDT001587337.1,
PDT001586903.1,
PDT001586434.1,
PDT001586613.1,
PDT000929604.1,GCA_022025355.1
PDT000929571.1,GCA_022026115.1
PDT001226969.1,GCA_021503315.1
PDT001209777.1,
PDT000880867.1,
PDT002066780.1,GCA_036236745.1
PDT001863984.2,GCA_956477615.1
PDT000535648.1,GCA_022328145.1
PDT001265628.1,
PDT001359703.1,
PDT001266303.1,
PDT001369694.1,
PDT001265486.1,
PDT000369720.1,GCA_900516845.1
PDT002346830.1,GCA_964237015.1
PDT001266549.1,
PDT001865566.1,GCA_956482485.1
PDT002054357.1,
PDT001268695.1,
PDT002335149.1,GCA_041424375.1
PDT002383263.1,GCA_041926665.1
PDT001011288.1,GCA_021978535.1
PDT000369887.1,GCA_900517095.1
PDT001185051.2,GCA_905232565.2
PDT001094228.1,
PDT001580406.1,GCA_027948785.1
PDT001199203.1,
PDT001197688.1,GCA_021876675.1
PDT000881267.1,
PDT001206303.1,
PDT001206175.1,
PDT001206062.1,
PDT001244619.1,GCA_022117295.1
PDT001360399.1,GCA_926498725.1
PDT001468526.1,
PDT001244235.1,GCA_022148125.1
PDT001559050.1,
PDT001347362.1,GCA_023982655.1
PDT001375163.1,GCA_024513865.1
PDT001864135.1,GCA_956482345.1
PDT001267061.1,
PDT001373280.1,GCA_024492735.1
PDT001336811.1,GCA_024024395.1
PDT002355852.1,
PDT001956303.1,
PDT001087271.1,GCA_021934695.1
PDT001610667.1,GCA_028561005.1
PDT001820682.1,
PDT001442646.1,GCA_025603005.1
PDT002373049.1,
PDT001585470.1,GCA_028092295.1
PDT001660932.1,GCA_029217915.1
PDT001820160.1,GCA_956441615.1
PDT001820164.1,GCA_956453085.1
PDT001873492.1,GCA_031174845.1
PDT001864439.1,GCA_959613065.1
PDT002313979.1,
PDT001873378.1,GCA_031180605.1
PDT001972649.1,GCA_033413635.1
PDT001972739.1,GCA_033424585.1
PDT002338580.1,
PDT000136601.2,GCA_022311235.1
PDT000136454.2,GCA_022312655.1
PDT000433345.1,GCA_022273035.1
PDT000628442.2,GCA_009661615.2
PDT002305285.1,
PDT000868207.4,
PDT000893261.3,GCA_031041015.2
PDT001257638.3,GCA_022466495.3
PDT002268072.1,GCA_040901555.1
PDT001947770.2,GCA_032848805.2
PDT001009224.1,GCA_018068615.1
PDT000899108.3,GCA_031040815.2
PDT001091082.3,GCA_021930435.3
PDT001370530.1,GCA_024472485.1
PDT002184142.1,GCA_040031155.1
PDT002067564.1,GCA_036472275.1
PDT002018603.1,GCA_034162495.1
PDT002040547.1,GCA_034701065.1
PDT002149965.1,GCA_038873715.1
PDT000622410.3,
PDT000947602.3,GCA_022019895.3
PDT000622587.3,
PDT001876262.2,GCA_031210415.2
PDT000143085.5,
PDT001360507.1,GCA_926498685.1
PDT000814180.3,GCA_022170265.3
PDT002128286.1,GCA_037890715.1
PDT001315729.3,GCA_023563705.3
PDT001609223.3,GCA_028542095.3
PDT001573385.1,GCA_028019175.1
PDT002061076.1,GCA_035944395.1
PDT001490803.1,GCA_026270755.1
PDT000875027.1,GCA_022082415.1
PDT002265352.1,
PDT002173105.1,GCA_039778035.1
PDT002363657.1,GCA_041756255.1
PDT000433587.1,GCA_022270955.1
PDT001658781.3,GCA_029174885.3
PDT001373240.1,GCA_024493965.1
PDT002037245.1,GCA_034570915.1
PDT000875335.1,GCA_022077705.1
PDT001561879.1,GCA_027867705.1
PDT000151984.2,GCA_022309475.1
PDT000923151.2,
PDT000097262.1,GCA_001462965.1
PDT000136243.2,GCA_022314215.1
PDT000151996.2,GCA_022309275.1
PDT000663689.1,
PDT000172170.4,GCA_001904175.4
PDT000881516.1,GCA_022049665.1
PDT000881534.1,
PDT000874892.1,GCA_022084935.1
PDT000876074.1,GCA_022063545.1
PDT000875541.1,
PDT000876337.1,GCA_022058625.1
PDT000876033.1,GCA_022064265.1
PDT000876209.1,GCA_022061165.1
PDT000875648.1,GCA_022071185.1
PDT000875578.1,GCA_022073025.1
PDT000874763.1,GCA_022087105.1
PDT000874933.1,GCA_022084175.1
PDT000276180.1,GCA_002854115.1
PDT000668957.1,GCA_009907235.1
PDT001325491.1,GCA_023781715.1
PDT001091770.1,GCA_021927345.1
PDT000898186.3,GCA_022035355.3
PDT000875826.1,GCA_022067645.1
PDT000869596.1,GCA_022143005.1
PDT000615728.1,
PDT001020202.1,GCA_021958025.1
PDT000917709.1,
PDT002245145.1,GCA_040567575.1
PDT000434567.1,GCA_022269535.1
PDT002016299.1,GCA_034164125.1
PDT000201878.2,GCA_022299955.1
PDT001902850.1,GCA_032155285.1
PDT002016690.1,GCA_034155025.1
PDT002244904.1,GCA_040559585.1
PDT000903623.1,GCA_015720005.1
PDT000656618.1,GCA_022206585.1
PDT000631083.1,GCA_902650035.1
PDT001958703.1,GCA_033118805.1
PDT000536711.1,
PDT000538087.1,GCA_022332865.1
PDT001592155.1,GCA_947662745.1
PDT001087295.1,
PDT001087461.1,GCA_021931095.1
PDT001585561.1,GCA_028090515.1
PDT000423558.1,GCA_022297335.1
PDT000609848.1,
PDT000785566.1,GCA_022172585.1
PDT000858717.1,GCA_022154565.1
PDT002244916.1,GCA_040559885.1
PDT001442634.1,GCA_025589095.1
PDT001442633.1,GCA_025589115.1
PDT001679168.1,GCA_029581535.1
PDT000586869.1,GCA_008375195.1
PDT000715164.1,GCA_022193885.1
PDT001244236.1,GCA_022150665.1
PDT000714994.1,
PDT000715172.1,GCA_022193805.1
PDT000715115.1,GCA_022194905.1
PDT000715143.1,GCA_022194345.1
PDT000715391.1,GCA_022190125.1
PDT000632287.1,GCA_022211265.1
PDT001151359.1,GCA_020481075.1
PDT001197759.2,GCA_021875375.2
PDT001288291.1,GCA_023041515.1
PDT001020167.1,GCA_021958685.1
PDT000785568.1,GCA_022172525.1
PDT001128461.2,GCA_019928685.1
PDT000822592.1,GCA_014284955.1
PDT000880911.1,GCA_022054565.1
PDT000636167.1,GCA_022209245.1
PDT001347347.1,GCA_023982055.1
PDT001808852.1,GCA_030387875.1
PDT000716254.1,
PDT000716323.1,
PDT001081377.1,GCA_019096315.1
PDT000730640.1,GCA_012971985.1
PDT001297020.1,GCA_023146795.1
PDT001141090.1,GCA_021905755.1
PDT001065616.1,GCA_018790265.1
PDT000871234.1,GCA_022126325.1
PDT000440661.1,GCA_022250475.1
PDT000881532.1,GCA_022049425.1
PDT001961021.1,GCA_033104965.1
PDT000879580.1,GCA_022055315.1
PDT001350138.1,GCA_024087515.1
PDT001706296.1,GCA_030783225.1
PDT000822652.1,GCA_014286145.1
PDT000217718.2,GCA_002184835.2
PDT001352910.3,GCA_024166885.3
PDT001577291.1,GCA_027856315.1
PDT000884765.1,GCA_015278505.1
PDT000884760.1,GCA_015278395.1
PDT001025497.1,GCA_021945625.1
PDT001025296.1,GCA_021947575.1
PDT001263623.1,GCA_022550185.1
PDT000370656.1,GCA_900508075.1
PDT001816689.1,GCA_030443475.1
PDT001816683.1,GCA_030443375.1
PDT002341495.1,
PDT001162580.1,GCA_020591915.1
PDT001185043.2,GCA_905232095.2
PDT001047590.1,GCA_018449195.1
PDT001297026.1,GCA_023146915.1
PDT001147216.1,GCA_020294765.1
PDT001780091.1,GCA_030272195.1
PDT001288196.1,GCA_023042595.1
PDT000435349.1,GCA_022265415.1
PDT001214436.1,GCA_025071515.1
PDT001449698.1,GCA_025628865.1
PDT000594161.1,GCA_008634705.1
PDT001157382.1,GCA_020526025.1
PDT001227250.1,GCA_021808675.1
PDT001260272.1,GCA_022524535.1
PDT001259844.1,GCA_022531325.1
PDT001259618.1,GCA_022535075.1
PDT001260063.1,GCA_022529585.1
PDT001259282.1,
PDT001259492.1,GCA_022535275.1
PDT001289251.1,GCA_023030485.1
PDT001366139.1,GCA_024437185.1
PDT000615060.1,
PDT001308531.1,GCA_023354115.1
PDT001395462.2,GCA_024721055.1
PDT001197770.1,
PDT001370366.1,GCA_024476005.1
PDT001792604.1,GCA_030363075.1
PDT001244920.1,GCA_022111575.1
PDT001288292.1,GCA_023041495.1
PDT001244050.1,GCA_022147165.1
PDT001227786.1,GCA_021783335.1
PDT001244929.1,GCA_022136115.1
PDT001243660.1,GCA_022159185.1
PDT000715403.1,GCA_022189985.1
PDT001411085.1,GCA_025102405.1
PDT000716581.1,
PDT001284076.2,GCA_022965395.2
PDT001366432.1,GCA_024376635.1
PDT001284080.2,GCA_022965675.2
PDT001325676.1,GCA_023774875.1
PDT001288601.1,
PDT001250695.1,GCA_022302615.1
PDT001250616.1,GCA_022308295.1
PDT001483920.1,GCA_026128735.1
PDT001391496.1,GCA_024703635.1
PDT000546357.1,GCA_007115575.1
PDT002305407.1,
PDT001347416.1,GCA_023982575.1
PDT001347454.1,GCA_023980225.1
PDT002279512.1,GCA_040982715.1
PDT001716557.1,GCA_029916305.1
PDT001716512.1,GCA_029915405.1
PDT001558376.1,GCA_027610705.1
PDT002138582.1,GCA_038229015.1
PDT001558117.1,GCA_027625755.1
PDT001558102.1,GCA_027796075.1
PDT001558181.1,GCA_027617045.1
PDT001151234.1,GCA_020477495.1
PDT001951834.1,GCA_032984905.1
PDT001049037.1,GCA_021941575.1
PDT001593268.1,
PDT001593280.1,
PDT001593266.1,
PDT000536415.1,
PDT001908296.1,GCA_032236475.1
PDT001792653.1,GCA_030372445.1
PDT001894006.1,GCA_031801155.1
PDT001020265.1,GCA_021956505.1
PDT001020185.1,GCA_021958325.1
PDT002036607.1,GCA_034487265.1
PDT002009121.1,GCA_034026755.1
PDT000438214.1,
PDT001580481.1,GCA_027948185.1
PDT001580437.1,GCA_027948505.1
PDT001580426.1,GCA_027954125.1
PDT002373668.1,GCA_041861275.1
PDT001663075.1,GCA_029222085.1
PDT001663077.1,GCA_029222115.1
PDT001710101.1,GCA_029904305.1
PDT001677824.1,GCA_029577345.1
PDT000536555.1,
PDT000336631.1,GCA_003262015.1
PDT001960992.1,GCA_033105545.1
PDT001256965.1,GCA_022423505.1
PDT000899167.3,GCA_031040795.2
PDT001024177.1,GCA_018314115.1
PDT001837827.1,GCA_031010985.1
PDT001865906.1,GCA_030910755.1
PDT002128281.1,GCA_037862675.1
PDT002017364.1,GCA_034081365.1
PDT002320845.1,
PDT001251458.1,GCA_022324865.1
PDT002208247.1,GCA_040196735.1
PDT001991696.1,GCA_033801125.1
PDT002292095.1,GCA_041039585.1
PDT001863961.2,GCA_956478305.1
PDT002000522.1,GCA_033898685.1
PDT001324968.1,GCA_023661045.1
PDT001363152.1,
PDT002026193.1,GCA_034355435.1
PDT002042147.1,GCA_034734715.1
PDT002042519.1,GCA_034742295.1
PDT002086304.1,GCA_036859415.1
PDT002019295.1,GCA_034224295.1
PDT001385932.1,GCA_025039955.1
PDT002127234.1,GCA_037629455.1
PDT002127267.1,GCA_037630785.1
PDT002032656.1,GCA_034436815.1
PDT002134260.1,
PDT002134278.1,
PDT001865730.1,GCA_959611775.1
PDT000614914.1,
PDT002373724.1,GCA_041861835.1
PDT002376976.1,GCA_041869955.1
PDT002381562.1,GCA_041902485.1
PDT002160598.1,GCA_039609155.1
PDT002160628.1,GCA_039609755.1
PDT002363725.1,GCA_041734115.1
PDT002291129.1,GCA_041033455.1
PDT002160537.1,GCA_039607615.1
PDT002160676.1,GCA_039610715.1
PDT002208252.1,GCA_040196835.1
PDT002264577.1,
PDT002257151.1,GCA_040742905.1
PDT002255713.1,
PDT002255671.1,
PDT002255736.1,
PDT002334337.1,GCA_041418655.1
PDT002376882.1,
PDT002369372.1,GCA_041807195.1
PDT000193289.2,GCA_022302195.1
PDT002111489.1,GCA_037115205.1
PDT001245206.1,GCA_022147705.1
PDT000650086.1,GCA_022208465.1
PDT000881006.1,
PDT000441113.1,GCA_022245125.1
PDT000538301.1,
PDT000176146.2,GCA_022306215.1
PDT000537676.1,
PDT000874060.1,
PDT000443780.1,GCA_022233005.1
PDT000442133.1,
PDT001010968.1,GCA_021980655.1
PDT001703200.1,GCA_031065605.1
PDT001214095.1,GCA_021853235.1
PDT001198295.1,GCA_021873855.1
PDT001481677.1,GCA_026007255.1
PDT001481654.1,GCA_026006795.1
PDT000428614.1,
PDT001585521.1,GCA_028091295.1
PDT000370328.1,GCA_900505575.1
PDT000370591.1,GCA_900507465.1
PDT000589909.1,
PDT000438274.1,
PDT000438224.1,
PDT000441755.1,
PDT001196955.1,GCA_021878615.1
PDT000423517.1,GCA_022298075.1
PDT000974207.1,GCA_022016455.1
PDT000442263.1,GCA_022235845.1
PDT000198677.1,GCA_900172745.1
PDT000541899.1,
PDT000536037.1,
PDT000577650.1,
PDT000577681.1,
PDT000536532.1,
PDT000536525.1,
PDT000577617.1,
PDT000444861.1,
PDT000537551.1,
PDT000440696.1,GCA_022249895.1
PDT000543439.1,GCA_902166345.1
PDT000543388.1,GCA_902162195.1
PDT001369592.1,
PDT000438382.1,
PDT000438367.1,GCA_022255935.1
PDT000438399.1,GCA_022255375.1
PDT000438411.1,GCA_022255235.1
PDT000443015.1,GCA_022232505.1
PDT001011635.1,GCA_021974255.1
PDT001091998.1,GCA_021923885.1
PDT000989485.1,GCA_021993695.1
PDT000989451.1,GCA_021995565.1
PDT000614934.1,
PDT000613703.1,
PDT000736006.1,GCA_022180825.1
PDT000614797.1,
PDT000708410.1,GCA_022198665.1
PDT001209210.1,
PDT000613590.1,
PDT001204016.1,
PDT000723973.1,
PDT000736015.1,GCA_022180685.1
PDT000614825.1,
PDT000763416.1,
PDT000615146.1,
PDT000614997.1,
PDT000613479.1,
PDT000723795.1,
PDT000989473.1,GCA_021994015.1
PDT000614450.1,
PDT000361101.1,GCA_900498925.1
PDT000881899.1,
PDT000650203.1,
PDT000881863.1,
PDT000881998.1,
PDT000881940.1,
PDT000438389.1,GCA_022255555.1
PDT000634133.1,
PDT000639207.1,GCA_009722405.1
PDT000746832.1,
PDT000432028.1,
PDT000746070.1,
PDT001193658.1,
PDT000873020.1,
PDT000872962.1,
PDT001193594.1,
PDT001193791.1,
PDT000882571.1,
PDT000873142.1,
PDT001192139.1,
PDT001491648.1,
PDT000786705.1,GCA_022171225.1
PDT002230686.1,GCA_040292285.1
PDT001559011.1,
PDT001491729.1,
PDT002074706.1,GCA_036455315.1
PDT001558725.1,
PDT000749026.1,GCA_013170505.1
PDT000919036.1,
PDT000920112.1,
PDT000535671.1,GCA_022328025.1
PDT001188726.1,
PDT001188724.1,
PDT001273503.1,
PDT000944264.1,
PDT000878368.1,GCA_902705715.1
PDT001227368.1,GCA_021806495.1
PDT001265977.1,
PDT000370615.1,GCA_900507855.1
PDT002203357.1,
PDT002347498.1,
PDT001216877.1,
PDT001586835.1,
PDT001548790.1,
PDT001468969.1,
PDT001588712.1,
PDT001548776.1,
PDT001586647.1,
PDT001777342.1,
PDT001038407.1,
PDT000797580.1,GCA_013603185.1
PDT000946921.1,
PDT000440774.1,GCA_022248715.1
PDT001971254.1,GCA_033337095.1
PDT001209618.1,
PDT000880799.1,
PDT001442704.1,GCA_025588615.1
PDT001365939.1,
PDT001360456.1,GCA_926498305.1
PDT001267449.1,
PDT000369732.1,GCA_900516915.1
PDT001266534.1,
PDT001189007.1,GCA_021895995.1
PDT001216519.1,GCA_021840365.1
PDT000947367.1,GCA_022022775.1
PDT000947009.1,
PDT002383506.1,GCA_041927195.1
PDT001011449.1,
PDT000543463.1,GCA_902166945.1
PDT000723989.1,GCA_022182945.1
PDT001199300.1,
PDT001903227.1,GCA_032045535.1
PDT001364455.1,
PDT001903097.1,GCA_032135595.1
PDT001903260.1,GCA_032131475.1
PDT001903051.1,GCA_032136855.1
PDT001206330.1,
PDT001206439.1,
PDT001442134.1,
PDT001468474.1,
PDT002317743.1,
PDT002208341.1,GCA_040198615.1
PDT001491507.1,
PDT001265566.1,
PDT001373080.1,GCA_024528045.1
PDT002096641.2,GCA_036948095.1
PDT001347374.1,GCA_023961415.1
PDT001347368.1,GCA_023981775.1
PDT001469157.1,
PDT000370079.1,GCA_900501875.1
PDT001954712.1,
PDT001956243.1,
PDT001467963.1,GCA_025877665.1
PDT001243990.1,GCA_022099595.1
PDT001269515.1,
PDT001493889.1,GCA_026345565.1
PDT000463746.1,GCA_004179555.1
PDT001769510.1,GCA_947577135.1
PDT001592209.1,GCA_947662795.1
PDT001585437.1,GCA_028093935.1
PDT001617347.1,GCA_028671135.1
PDT001736360.1,GCA_949630095.1
PDT001865639.1,GCA_956480285.1
PDT001864367.1,GCA_959610635.1
PDT001865744.1,GCA_959612445.1
PDT001364474.1,
PDT001286500.1,GCA_022984645.1
PDT000869689.1,GCA_022142865.1
PDT000136603.2,GCA_022311245.1
PDT000425355.1,
PDT001010124.1,GCA_018108285.1
PDT000880981.1,
PDT000070453.1,GCA_001060105.1
PDT002305252.1,
PDT002305239.1,
PDT001324261.1,GCA_023686725.1
PDT002158477.1,GCA_039581985.1
PDT002131962.1,GCA_037009005.2
PDT000899105.3,GCA_022034435.3
PDT000218165.4,
PDT002117153.1,GCA_037387085.1
PDT000868329.4,
PDT001197020.1,GCA_021878035.1
PDT001726336.3,GCA_031036175.2
PDT000217032.1,GCA_002181085.1
PDT000898020.3,GCA_022036585.3
PDT001662602.3,GCA_029235275.3
PDT001291201.3,GCA_028060575.3
PDT001019571.1,GCA_021970595.1
PDT000944360.1,
PDT002230671.1,GCA_040291985.1
PDT000622376.3,
PDT001593007.1,
PDT001165606.1,GCA_028063115.1
PDT001769442.1,GCA_947572995.1
PDT000868376.4,
PDT002067499.1,GCA_036473535.1
PDT002345633.1,GCA_041696055.1
PDT001019312.3,GCA_021971075.3
PDT000435084.1,
PDT000193334.2,GCA_022301095.1
PDT000136213.2,GCA_022314715.1
PDT000137763.2,
PDT000460348.1,GCA_004127715.1
PDT000460345.1,GCA_004127705.1
PDT000217802.1,GCA_002186665.1
PDT000217862.1,GCA_002187895.1
PDT001347586.1,GCA_023977475.1
PDT002279567.1,GCA_040985125.1
PDT000433112.1,GCA_022274955.1
PDT000874963.1,GCA_022083615.1
PDT000875598.1,GCA_022072705.1
PDT000874996.1,GCA_022083015.1
PDT000875107.1,GCA_022081175.1
PDT000875776.1,GCA_022068585.1
PDT000874982.1,GCA_022083315.1
PDT000266983.1,GCA_002775295.1
PDT000235664.1,GCA_002261685.1
PDT000431345.1,GCA_022286775.1
PDT000459592.1,GCA_022227825.1
PDT002306224.1,
PDT000615673.1,
PDT000267674.1,GCA_002795635.1
PDT001808847.1,GCA_030387755.1
PDT002016318.1,GCA_034163765.1
PDT001019898.1,GCA_021964075.1
PDT000371006.1,GCA_003432565.1
PDT000941566.1,GCA_016748575.1
PDT000505684.1,GCA_005504315.1
PDT000692447.1,GCA_011038175.1
PDT000897317.1,GCA_015645925.1
PDT000538951.2,GCA_006540605.2
PDT000679384.1,GCA_010183605.1
PDT001865574.1,GCA_956482265.1
PDT001137110.1,GCA_020120735.1
PDT000590389.1,GCA_008572945.1
PDT001672790.1,GCA_029493835.1
PDT000932865.1,GCA_016616665.1
PDT001099777.1,GCA_019401065.1
PDT001844496.1,GCA_030662035.1
PDT001244932.1,GCA_022138065.1
PDT000663025.1,GCA_902508985.1
PDT000881175.1,GCA_022053445.1
PDT001884755.1,GCA_031525805.1
PDT001288370.1,GCA_023039755.1
PDT001214407.2,GCA_025115205.1
PDT000896232.1,GCA_015626975.1
PDT000785619.1,GCA_022171765.1
PDT002290923.1,GCA_041029325.1
PDT000870614.1,GCA_022137505.1
PDT000877760.1,
PDT000716156.1,
PDT001369757.1,
PDT000714417.1,GCA_011742815.1
PDT002116651.1,GCA_037395695.1
PDT000893723.3,GCA_022038935.3
PDT000774111.1,GCA_013375175.1
PDT000837125.1,GCA_014530595.1
PDT000871119.1,GCA_022129795.1
PDT001033291.1,GCA_018359245.1
PDT001021767.1,GCA_021951245.1
PDT001468775.3,GCA_025886725.3
PDT000858381.1,GCA_022151345.1
PDT001020048.1,GCA_021961225.1
PDT002017352.1,GCA_034075585.1
PDT000848409.1,GCA_014764345.1
PDT000913023.1,GCA_015992325.1
PDT000928508.1,GCA_016481475.1
PDT000992730.1,GCA_017596665.1
PDT001655918.1,GCA_029082405.1
PDT001025066.1,GCA_021951105.1
PDT000877841.1,
PDT001025280.1,GCA_021947795.1
PDT001287213.1,
PDT001776394.1,GCA_031033345.1
PDT002032652.1,GCA_034437015.1
PDT001078624.1,GCA_021936795.1
PDT002230901.1,GCA_040328755.1
PDT001079391.1,GCA_019053355.1
PDT002160770.1,GCA_039613535.1
PDT001512461.1,GCA_026614575.1
PDT001308182.1,
PDT001260540.1,GCA_022524085.1
PDT001260570.1,GCA_022527825.1
PDT001259447.1,GCA_022519925.1
PDT001259770.1,
PDT001260554.1,
PDT001260260.1,GCA_022528565.1
PDT001260012.1,
PDT001260664.1,GCA_022527245.1
PDT001289301.1,GCA_023031905.1
PDT001370407.1,GCA_024474665.1
PDT001653909.1,GCA_029026845.1
